# # Data threated with pyDSC, version xxxx, 
# #More information here? 
# #Temp/ [degC] 	 CP-baseline / [J/K/g] 	 CP [J/K/g] 	 baseline [J/K/g] 	 H [J/g]
8.037271200000000704e+01	2.836311683293438080e+00	3.149936122873121036e+01	2.866304954543777228e+01	-5.337217580555213559e+00
8.012271200000000704e+01	3.037824254031480820e+00	3.171885625859035329e+01	2.868103200455887247e+01	-6.071484572720828865e+00
7.987271200000000704e+01	3.201127782271498745e+00	3.190009110478449728e+01	2.869896332251299853e+01	-6.851353577258700867e+00
7.962271200000000704e+01	3.403983059873493033e+00	3.212094244803282805e+01	2.871695938815933502e+01	-7.676992432526825283e+00
7.937271200000000704e+01	3.521360176147208421e+00	3.225646750866317092e+01	2.873510733251596250e+01	-8.542660337029413853e+00
7.912271200000000704e+01	3.616836767825066801e+00	3.237011948545748652e+01	2.875328271763241972e+01	-9.434934955025948256e+00
7.887271200000000704e+01	3.720577012342243250e+00	3.249197007303718010e+01	2.877139306069493685e+01	-1.035211167754686201e+01
7.862271200000000704e+01	3.746732958877917241e+00	3.253624763214897797e+01	2.878951467327106073e+01	-1.128552542394938207e+01
7.837271200000000704e+01	3.780938869593793328e+00	3.258854161069535138e+01	2.880760274110155805e+01	-1.222648440250834589e+01
7.812271200000000704e+01	3.785635906275494733e+00	3.261104730338824709e+01	2.882541139711275235e+01	-1.317230624949200646e+01
7.787271200000000704e+01	3.706093075684087523e+00	3.254886438319088882e+01	2.884277130750680129e+01	-1.410877237223695424e+01
7.762271200000000704e+01	3.668472918998471499e+00	3.252808444745960514e+01	2.885961152846113364e+01	-1.503059312157227367e+01
7.737271200000000704e+01	3.492371131525217720e+00	3.236803440666516707e+01	2.887566327513994935e+01	-1.592569862788773527e+01
7.712271200000000704e+01	3.385195076545020498e+00	3.227606320061433820e+01	2.889086812406931770e+01	-1.678539440389651460e+01
7.687271200000000704e+01	3.251635335054150033e+00	3.215675823107479658e+01	2.890512289602064655e+01	-1.761499820534641003e+01
7.662271200000000704e+01	3.036920769090173167e+00	3.195534063191027840e+01	2.891841986282010524e+01	-1.840106771836445176e+01
7.637271200000000704e+01	2.890884532970822818e+00	3.182167797175464585e+01	2.893079343878382304e+01	-1.914204338112207537e+01
7.612271200000000704e+01	2.652893570490434172e+00	3.159476370522182620e+01	2.894187013473139203e+01	-1.983501564405473161e+01
7.587271200000000704e+01	2.490346161636310285e+00	3.144161163140297433e+01	2.895126546976666404e+01	-2.047792061057057467e+01
7.562271200000000704e+01	2.276562319361559616e+00	3.123538114405520005e+01	2.895881882469364044e+01	-2.107378417069530840e+01
7.537271200000000704e+01	2.119413612940892477e+00	3.108407628809847978e+01	2.896466267515758730e+01	-2.162328116223311625e+01
7.512271200000000704e+01	1.932430910475900987e+00	3.090071587614517412e+01	2.896828496566927313e+01	-2.212976172766021676e+01
7.487271200000000704e+01	1.698245351555026872e+00	3.066786014722840292e+01	2.896961479567337605e+01	-2.258359626041408319e+01
7.462271200000000704e+01	1.511921951238232253e+00	3.048061804732918745e+01	2.896869609609095519e+01	-2.298486717326323969e+01
7.437271200000000704e+01	1.321795635319737983e+00	3.028667029354688367e+01	2.896487465822714569e+01	-2.333908187158298730e+01
7.412271200000000704e+01	1.228093225423918966e+00	3.018584762437038549e+01	2.895775439894646652e+01	-2.365781797917594531e+01
7.387271200000000704e+01	1.013350888899864799e+00	2.996054271476951314e+01	2.894719182586964834e+01	-2.393799849346641651e+01
7.362271200000000704e+01	9.139491317000789650e-01	2.984748792073609280e+01	2.893353878903601384e+01	-2.417891099604140948e+01
7.337271200000000704e+01	7.749640815870009192e-01	2.969147139401322022e+01	2.891650731242621930e+01	-2.439002514770229624e+01
7.312271200000000704e+01	6.354673358486984114e-01	2.953140617060621409e+01	2.889593883475751568e+01	-2.456632907488175732e+01
7.287271200000000704e+01	5.097140594280347159e-01	2.938126025407532182e+01	2.887154619464728711e+01	-2.470947674929134763e+01
7.262271200000000704e+01	4.289043959448228804e-01	2.927221366975918926e+01	2.884330927381436638e+01	-2.482680405621295350e+01
7.237271200000000704e+01	3.648607720086758377e-01	2.917612291483226272e+01	2.881126214282358688e+01	-2.492602470220714039e+01
7.212271200000000704e+01	2.669960537715994064e-01	2.904236915900123606e+01	2.877537310522963665e+01	-2.500500680542967302e+01
7.187271200000000704e+01	1.932259604696824340e-01	2.892952186067287812e+01	2.873629590020319569e+01	-2.506253455720983325e+01
7.162271200000000704e+01	1.054007197150355069e-01	2.879904248828513502e+01	2.869364176857009952e+01	-2.509986289223292388e+01
7.137271200000000704e+01	3.271250716808893344e-02	2.868054219721156173e+01	2.864782969004347279e+01	-2.511712704559331399e+01
7.112271200000000704e+01	-6.011185956428022337e-03	2.859350027937366079e+01	2.859951146533008881e+01	-2.512046471074476983e+01
7.087271200000000704e+01	-7.075093254525910424e-02	2.847821870216397144e+01	2.854896963470923055e+01	-2.511086944593206027e+01
7.062271200000000704e+01	-7.708772132698271662e-02	2.841996807862107488e+01	2.849705579994805760e+01	-2.509238961419803005e+01
7.037271200000000704e+01	-8.706117563642834511e-02	2.835688938428235772e+01	2.844395055991878607e+01	-2.507187100207760366e+01
7.012271200000000704e+01	-8.341802038563983501e-02	2.830680700629969948e+01	2.839022502668533932e+01	-2.505056110257484647e+01
6.987271200000000704e+01	-1.138194139990673648e-01	2.822265990659095181e+01	2.833647932059001917e+01	-2.502590642327675852e+01
6.962271200000000704e+01	-8.774660620435170699e-02	2.819514395175144372e+01	2.828289055795579543e+01	-2.500071067075133158e+01
6.937271200000000704e+01	-8.414479444802935859e-02	2.814627112190316538e+01	2.823041591635119474e+01	-2.497922424566978350e+01
6.912271200000000704e+01	-8.011305313400995942e-02	2.809943276213865460e+01	2.817954581527266456e+01	-2.495869201472202903e+01
6.887271200000000704e+01	-1.098867983602183074e-01	2.802050342028157814e+01	2.813039021864179645e+01	-2.493494203328524961e+01
6.862271200000000704e+01	-2.885663533639259981e-02	2.805454283765338630e+01	2.808339947298977890e+01	-2.491759910407317236e+01
6.837271200000000704e+01	2.208247604396973429e-03	2.804106573856609330e+01	2.803885749096169633e+01	-2.491426805560667290e+01
6.812271200000000704e+01	4.154835068877815729e-03	2.800044718908258545e+01	2.799629235401370764e+01	-2.491506344094083403e+01
6.787271200000000704e+01	3.061897265548196856e-02	2.798665125513141305e+01	2.795603228247593108e+01	-2.491941016690637767e+01
6.762271200000000704e+01	5.990486762386382225e-02	2.797872087050137679e+01	2.791881600287751297e+01	-2.493072564694129767e+01
6.737271200000000704e+01	1.811369373101001656e-02	2.790285841638252506e+01	2.788474472265151505e+01	-2.494047796711065601e+01
6.712271200000000704e+01	4.531884952649534171e-02	2.789904251975773164e+01	2.785372367023123630e+01	-2.494840703501784418e+01
6.687271200000000704e+01	8.234196852948372225e-02	2.790746380886071876e+01	2.782512184033123503e+01	-2.496436463727484067e+01
6.662271200000000704e+01	7.665858025136884635e-02	2.787660261838595943e+01	2.779994403813459058e+01	-2.498423970587244725e+01
6.637271200000000704e+01	8.110197697006427120e-02	2.785992704891820182e+01	2.777882507194813755e+01	-2.500395977552512505e+01
6.612271200000000704e+01	1.042979715650069750e-01	2.786576223301419830e+01	2.776146426144919133e+01	-2.502713476909200807e+01
6.587271200000000704e+01	8.674419521584653126e-02	2.783416215539458705e+01	2.774741796017874051e+01	-2.505101503993961387e+01
6.562271200000000704e+01	8.807415537410889783e-02	2.782353938746960509e+01	2.773546523209549619e+01	-2.507286733376335874e+01
6.537271200000000704e+01	1.006075823934189373e-01	2.782469832689543310e+01	2.772409074450201416e+01	-2.509645255098429928e+01
6.512271200000000704e+01	7.498053181906882969e-02	2.778788049142414351e+01	2.771289995960507468e+01	-2.511840106526086203e+01
6.487271200000000704e+01	4.890585233312094715e-02	2.775170538655146402e+01	2.770279953421834307e+01	-2.513388686327988708e+01
6.462271200000000704e+01	8.117123649011759312e-02	2.777464631413790030e+01	2.769347507764778271e+01	-2.515014649938279234e+01
6.437271200000000704e+01	3.948406477802990366e-02	2.772438174480445383e+01	2.768489768002642393e+01	-2.516522841204131211e+01
6.412271200000000704e+01	-8.894673523570872931e-03	2.766832247834184244e+01	2.767721715186541331e+01	-2.516905208594812038e+01
6.387271199999999993e+01	-2.176785845916029416e-02	2.764867111681125422e+01	2.767043897527041452e+01	-2.516521926945027943e+01
6.362271199999999993e+01	7.669211632901351550e-03	2.767240660112195982e+01	2.766473738948905847e+01	-2.516345693859699750e+01
6.337271199999999993e+01	3.446817460041273762e-03	2.766308953787760672e+01	2.765964272041756544e+01	-2.516484644223361400e+01
6.312271199999999993e+01	1.674088516459448783e-02	2.767134381824237366e+01	2.765460293307777917e+01	-2.516736990506169391e+01
6.287271199999999993e+01	4.805468056822803646e-03	2.765443544871528303e+01	2.764962998065846023e+01	-2.517006319921437196e+01
6.262271199999999993e+01	7.513429321079456713e-03	2.765299816139241429e+01	2.764548473207133483e+01	-2.517160306138660886e+01
6.237271199999999993e+01	-2.198700317097390666e-02	2.762019359650927441e+01	2.764218059968024832e+01	-2.516979386465537161e+01
6.212271199999999993e+01	-3.294614053035616053e-02	2.760621041033646605e+01	2.763915655086682222e+01	-2.516292722169270490e+01
