# # Data threated with pyDSC, version xxxx, 
# #More information here? 
# #Temp/ [degC] 	 CP-baseline / [J/K/g] 	 CP [J/K/g] 	 baseline [J/K/g] 	 H [J/g]
6.687271200000000704e+01	-2.108165533821360071e-01	-7.966501583340514614e+00	-7.755685029958378607e+00	-2.500783882772838473e-01
6.712271200000000704e+01	-1.142614087648681220e-01	-7.878274202442649532e+00	-7.764012793677781410e+00	-2.907131335456593635e-01
6.737271200000000704e+01	-1.617922992681348759e-01	-7.933625195052914414e+00	-7.771832895784779538e+00	-3.252198470497847382e-01
6.762271200000000704e+01	-1.530861638660914181e-01	-7.933012339268932678e+00	-7.779926175402841260e+00	-3.645796549415630250e-01
6.787271200000000704e+01	-3.189640713010177819e-02	-7.818728384139492782e+00	-7.786831977009391004e+00	-3.877024763160871745e-01
6.812271200000000704e+01	-8.305316946097640596e-02	-7.876155337395425171e+00	-7.793102167934448765e+00	-4.020711733899719476e-01
6.837271200000000704e+01	-1.106287970285757538e-01	-7.910631286711044652e+00	-7.800002489682468898e+00	-4.262814192011659675e-01
6.862271200000000704e+01	-2.978052635481160948e-01	-8.106429741696922875e+00	-7.808624478148806780e+00	-4.773356767732524486e-01
6.887271200000000704e+01	-1.532149428102993483e-01	-7.970711619043415297e+00	-7.817496676233115949e+00	-5.337132025680544345e-01
6.912271200000000704e+01	-2.778668667748869225e-01	-8.103971233344861247e+00	-7.826104366569974324e+00	-5.875984287662027183e-01
6.937271200000000704e+01	-2.866549591813161157e-01	-8.122317731969214805e+00	-7.835662772787898689e+00	-6.581636570107280981e-01
6.962271200000000704e+01	-4.179095874756564299e-01	-8.264086075801698072e+00	-7.846176488326041643e+00	-7.462342253428496663e-01
6.987271200000000704e+01	-2.881913061547889399e-01	-8.144729044389853456e+00	-7.856537738235064516e+00	-8.344968370466553376e-01
7.012271200000000704e+01	-3.303250013468872481e-01	-8.196400084683380882e+00	-7.866075083336493634e+00	-9.118113754843648611e-01
7.037271200000000704e+01	-6.035176077365509428e-01	-8.481322910164251994e+00	-7.877805302427701051e+00	-1.028541701619794635e+00
7.062271200000000704e+01	-5.765140617192949790e-01	-8.467627867962091770e+00	-7.891113806242796791e+00	-1.176045660301775264e+00
7.087271200000000704e+01	-6.235229632769678787e-01	-8.527813854058329923e+00	-7.904290890781362044e+00	-1.326050288426308121e+00
7.112271200000000704e+01	-7.104795067100688755e-01	-8.628613839523785245e+00	-7.918134332813716370e+00	-1.492800597174687827e+00
7.137271200000000704e+01	-7.064763393721404938e-01	-8.638719341772642224e+00	-7.932243002400501730e+00	-1.669920077934964109e+00
7.162271200000000704e+01	-9.017482571083510479e-01	-8.849075819946012444e+00	-7.947327562837661397e+00	-1.870948152495025552e+00
