scan 16/2/202112:22:58 PM						
temp(°C)	power	time(seconds)	pressure(A)	scan rate(°C/min)	AnalysisData	CorrectedData
73.90062309	-833.9333566	1232319.8	0.010379255	0.999992505	-833.9333566	-833.9333566
73.91728959	-833.9865032	1232320.8	0.010378957	0.999987432	-833.9865032	-833.9865032
73.93395617	-833.8761496	1232321.8	0.010378957	0.999984349	-833.8761496	-833.8761496
73.9506217	-833.9838181	1232322.8	0.010378659	0.999972835	-833.9838181	-833.9838181
73.96728842	-833.9933902	1232323.8	0.010379255	0.999978376	-833.9933902	-833.9933902
73.98395469	-833.9920711	1232324.8	0.010379851	0.99998434	-833.9920711	-833.9920711
74.00062044	-834.0888665	1232325.8	0.010378063	0.999994304	-834.0888665	-834.0888665
74.01728723	-833.9785607	1232326.8	0.010379255	1.000005679	-833.9785607	-833.9785607
74.03395443	-833.9881703	1232327.8	0.010377467	1.000006346	-833.9881703	-833.9881703
74.05062217	-833.9432867	1232328.8	0.010379255	1.000012112	-833.9432867	-833.9432867
74.06728903	-833.9747162	1232329.8	0.010378957	1.0000244	-833.9747162	-833.9747162
74.08395583	-833.984354	1232330.8	0.010378361	1.000027331	-833.984354	-833.984354
74.10062277	-834.037603	1232331.8	0.010378659	1.00002287	-834.037603	-834.037603
74.11728995	-834.0254585	1232332.8	0.010378957	1.000009225	-834.0254585	-834.0254585
74.13395709	-834.0351244	1232333.8	0.010379553	1.000001619	-834.0351244	-834.0351244
74.15062377	-833.9902976	1232334.8	0.010379851	0.99999705	-833.9902976	-833.9902976
74.16728992	-833.93458	1232335.8	0.010378063	0.999993764	-833.93458	-833.93458
74.18395589	-833.9878757	1232336.8	0.010378361	0.999992405	-833.9878757	-833.9878757
74.20062215	-833.9212767	1232337.8	0.010378361	0.999981869	-833.9212767	-833.9212767
74.21728871	-833.9854914	1232338.8	0.010377765	0.999987644	-833.9854914	-833.9854914
74.23395573	-833.9625126	1232339.8	0.010379553	0.999986332	-833.9625126	-833.9625126
74.25062164	-834.0049453	1232340.8	0.010379255	0.999996599	-834.0049453	-834.0049453
74.26728899	-834.0255865	1232341.8	0.010379255	0.999996122	-834.0255865	-834.0255865
74.28395499	-833.9590349	1232342.8	0.010378063	1.000002552	-833.9590349	-833.9590349
74.30062216	-833.9578944	1232343.8	0.010378063	1.000000488	-833.9578944	-833.9578944
74.31728836	-834.0112647	1232344.8	0.010379851	0.999999585	-834.0112647	-834.0112647
74.33395567	-834.1300455	1232345.8	0.010378957	0.999994575	-834.1300455	-834.1300455
74.35062246	-834.030831	1232346.8	0.010378659	1.000004426	-834.030831	-834.030831
74.36728825	-833.975227	1232347.8	0.010378063	0.999995638	-833.975227	-833.975227
74.38395502	-833.9741335	1232348.8	0.010378659	1.00000712	-833.9741335	-833.9741335
74.40062217	-834.0493506	1232349.8	0.010378063	0.999997115	-834.0493506	-834.0493506
74.41728831	-834.0918765	1232350.8	0.010378659	0.999991569	-834.0918765	-834.0918765
74.43395586	-834.0472104	1232351.8	0.010378957	0.999999532	-834.0472104	-834.0472104
74.450622	-834.0570545	1232352.8	0.010378957	0.99999098	-834.0570545	-834.0570545
74.46728814	-834.0996084	1232353.8	0.010378361	0.999983015	-834.0996084	-834.0996084
74.48395487	-834.1094712	1232354.8	0.010378957	0.999989257	-834.1094712	-834.1094712
74.50062064	-834.1302436	1232355.8	0.010379255	0.999980491	-834.1302436	-834.1302436
74.51728686	-834.1074249	1232356.8	0.010378659	0.999977315	-834.1074249	-834.1074249
74.53395373	-834.1173158	1232357.8	0.010378361	0.999980402	-834.1173158	-834.1173158
74.55062025	-834.1708164	1232358.8	0.010378659	0.9999771	-834.1708164	-834.1708164
74.56728602	-834.1371259	1232359.8	0.010379255	0.999980071	-834.1371259	-834.1371259
74.58395252	-834.1034448	1232360.8	0.010377467	0.999978411	-834.1034448	-834.1034448
74.60061886	-833.993473	1232361.8	0.010378957	0.999977617	-833.993473	-833.993473
74.61728498	-834.0470111	1232362.8	0.010378361	0.999981999	-834.0470111	-834.0470111
74.633951	-834.0787584	1232363.8	0.010379851	0.999987475	-834.0787584	-834.0787584
74.65061778	-834.110515	1232364.8	0.010378063	0.99998551	-834.110515	-834.110515
74.66728482	-834.1422809	1232365.8	0.010378957	0.999985843	-834.1422809	-834.1422809
74.68395123	-834.228556	1232366.8	0.010378659	0.999992027	-834.228556	-834.228556
74.7006175	-834.1949408	1232367.8	0.010380149	0.9999911	-834.1949408	-834.1949408
74.71728388	-834.2812344	1232368.8	0.010379255	0.999992447	-834.2812344	-834.2812344
74.73395072	-834.2149382	1232369.8	0.010380149	0.999988167	-834.2149382	-834.2149382
74.75061663	-834.2903505	1232370.8	0.010377467	0.999988348	-834.2903505	-834.2903505
74.76728357	-834.2349731	1232371.8	0.010379851	0.999984318	-834.2349731	-834.2349731
74.7839501	-834.1469056	1232372.8	0.010379255	0.999985847	-834.1469056	-834.1469056
74.80061653	-834.1787463	1232373.8	0.010378659	0.999981365	-834.1787463	-834.1787463
74.81728233	-834.1887967	1232374.8	0.010378659	0.999991777	-834.1887967	-834.1887967
74.83394889	-834.1661568	1232375.8	0.010377765	0.999994657	-834.1661568	-834.1661568
74.85061521	-834.1871257	1232376.8	0.010377467	0.99999797	-834.1871257	-834.1871257
74.86728234	-834.1754044	1232377.8	0.010378659	0.999999932	-834.1754044	-834.1754044
74.88394961	-834.2508912	1232378.8	0.010379553	1.000007379	-834.2508912	-834.2508912
74.90061653	-834.2064892	1232379.8	0.010378957	1.000010189	-834.2064892	-834.2064892
